,date,id,tweet,userid
0,2017-12-30 14:06:17,947106570776842241,".@ConEdison is responding to a power outage in Queens, ZIP: 11373.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .",b'NotifyNYC'
1,2017-12-30 02:57:31,946938269601816576,@ConEdison Hi! We are experiencing a power outage at our Bushwick apartment. Could you confirm if this is neighborhood-wide or just us?,b'Hilary_Weaver'
2,2017-12-29 04:04:27,946592726073663491,Power outage in Brooklyn Heights and @ConEdison no help. #powersurge #poweroutage #isitjustus #BrooklynHeights,b'KarenEdelman'
3,2017-12-28 20:05:52,946472287179558913,.@ConEdison is responding to a power outage in Bronx ZIPs 10470 and 10466. Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .,b'NotifyNYC'
4,2017-12-22 01:47:32,944021553200680960,@ConEdison Any updates on what caused the power outage to 4 Manhattanville Road Purchase 10577?,b'EddieLuc'
5,2017-12-17 19:37:13,942478810175373322,"@ConEdison is experiencing power outage issues in the communities of Maspeth, Ridgewood, Glendale and Middle Village",b'ExecCommander'
6,2017-12-16 11:56:41,942000525398151168,"We're glad to hear that emergency crews are on location! We confirmed there is a power outage affecting your area. The current estimated time of restoration is 10:00AM today, Saturday, December 16, 2017. Thank you for your patience. ~TE",b'ConEdison'
7,2017-12-13 23:23:04,941086094094946304,You're welcome!  We're sorry to hear about the recent power outage experienced. Please report this condition to PREPA as soon as possible. Thank you and be safe! ~ AJ,b'ConEdison'
8,2017-12-13 17:46:15,941001333649395712,".@ConEdison is responding to a power outage in Brooklyn, ZIP 11224.  Report service loss: 1-800-75-CONED. Multilingual and ASL Link: http://on.nyc.gov/22lyehC .",b'NotifyNYC'
9,2017-12-12 23:39:03,940727731582652416,.@ConEdison ConEd is responding to a power outage in Brooklyn ZIPs 11214 & 11223.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
10,2017-12-10 01:38:25,939670605200265216,NotifyNYC: .ConEdison ConEd is responding to a power outage in Bronx ZIP 10464.  Report service loss: 1-800-75-CONED. Multilingual & ASL link: http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
11,2017-12-10 01:23:29,939666849381404672,.@ConEdison ConEd is responding to a power outage in Bronx ZIP 10464.  Report service loss: 1-800-75-CONED. Multilingual & ASL link: http://on.nyc.gov/22lyehC .,b'NotifyNYC'
12,2017-11-30 08:32:42,936150985742934016,"NotifyNYC: .ConEdison is responding to a power outage in Queens, ZIPs 11413 and 11422.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .",b'EastCoast911IA'
13,2017-11-30 08:17:57,936147271900717056,".@ConEdison is responding to a power outage in Queens, ZIPs 11413 and 11422.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .",b'NotifyNYC'
14,2017-11-29 02:56:09,935703901319450624,NotifyNYC: .ConEdison ConEd is responding to a power outage in Staten Island ZIPs 10301 and 10304.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
15,2017-11-29 02:53:59,935703357402046465,.@ConEdison ConEd is responding to a power outage in Staten Island ZIPs 10301 and 10304.  Report service loss: 1-800-75-CONED. Multilingual & ASL Link: http://on.nyc.gov/22lyehC .,b'NotifyNYC'
