,date,id,tweet,userid
0,2017-03-20 16:37:29,843864079072722945,"The power outage experience earlier today on Iona College's campus has been resolved.  Thanks, @ConEdison",b'ionacollege'
1,2017-03-20 14:22:08,843830016941195264,@ConEdison responding to power outage effecting 69 customers in area of @ionacollegepic.twitter.com/xyPUF70v8k,b'TalkoftheSound'
2,2017-03-16 22:28:36,842502888614191104,NotifyNYC: .ConEdison is responding to a power outage in SI ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
3,2017-03-16 22:27:01,842502491023593472,.@ConEdison is responding to a power outage in SI ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
4,2017-03-16 22:25:21,842502072373317632,Props to your electric people tho @ConEdison for responding promptly to power outage. Your gas people could take a lesson.,b'msVbear'
5,2017-03-16 22:13:13,842499018106257408,.@ConEdison is reporting a power outage in portions of the West Shore with estimated time of restoration 7:30 pic.twitter.com/Fv7hrxEoqQ,b'StatenIslUSA'
6,2017-03-15 05:59:06,841891485339521024,NotifyNYC: .ConEdison is responding to a power outage in SI; ZIP 10312.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
7,2017-03-15 05:55:58,841890696051195905,.@ConEdison is responding to a power outage in SI; ZIP 10312.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
8,2017-03-15 05:25:15,841882966829760512,@ConEdison power outage in Staten Island...Edgegrove ave  cant seem to report it on the website,b'drfeelgo0d21'
9,2017-03-14 14:44:05,841661214581227521,NotifyNYC: .ConEdison is responding to a power outage in SI; ZIP 10308.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
10,2017-03-14 14:40:22,841660280421662724,.@ConEdison is responding to a power outage in SI; ZIP 10308.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
11,2017-03-13 18:12:19,841351229989146631,"Be storm ready 
Emergencies dial 911

@GPDNY  Non emergency 914-989-1700

@ConEdison power outage 1-800-75-CONED
https://twitter.com/ConEdison/status/841298927399903232 …",b'GPDNY'
12,2017-03-11 06:33:10,840450507445538816,NotifyNYC: .ConEdison ConEd is responding to a power outage in QN ZIP 11004.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
13,2017-03-11 06:24:42,840448376047046656,.@ConEdison ConEd is responding to a power outage in QN ZIP 11004.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
14,2017-03-05 09:30:00,838320680143745024,How much longer for this power outage?! #again @ConEdison @NewportBeachPD,b'LEBRISA'
15,2017-03-01 17:20:05,836989431097720838,No lights due to a ConEdison power outage at sacredsoundsyoga? No problem! Lunch classes are… https://www.instagram.com/p/BRGoljPjCs0/ ,b'SacredSoundsNYC'
16,2017-02-20 03:50:57,833524313479380992,@ConEdison . Power outage in Forest Hills near 67th Ave. 11375,b'cp_sundancekid'
17,2017-02-16 22:40:12,832358947646558208,"NotifyNYC: ConEdison    ConEd is responding to a power outage in Williamsbridge, BX.  Report service loss: 1-800-7… http://on.nyc.gov/22lyehC .",b'EastCoast911IA'
18,2017-02-16 22:29:39,832356295055405056,"@ConEdison    ConEd is responding to a power outage in Williamsbridge, BX.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .",b'NotifyNYC'
19,2017-02-15 00:47:21,831666171632025601,@ConEdison thanks had to stay in a hotel and then put our 4 month old in the hospital becase of power outage in park slope. #conedison,b'CrispyPolinsky'
20,2017-03-20 16:37:29,843864079072722945,"The power outage experience earlier today on Iona College's campus has been resolved.  Thanks, @ConEdison",b'ionacollege'
21,2017-03-20 14:22:08,843830016941195264,@ConEdison responding to power outage effecting 69 customers in area of @ionacollegepic.twitter.com/xyPUF70v8k,b'TalkoftheSound'
22,2017-03-16 22:28:36,842502888614191104,NotifyNYC: .ConEdison is responding to a power outage in SI ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
23,2017-03-16 22:27:01,842502491023593472,.@ConEdison is responding to a power outage in SI ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
24,2017-03-16 22:25:21,842502072373317632,Props to your electric people tho @ConEdison for responding promptly to power outage. Your gas people could take a lesson.,b'msVbear'
25,2017-03-16 22:13:13,842499018106257408,.@ConEdison is reporting a power outage in portions of the West Shore with estimated time of restoration 7:30 pic.twitter.com/Fv7hrxEoqQ,b'StatenIslUSA'
26,2017-03-15 05:59:06,841891485339521024,NotifyNYC: .ConEdison is responding to a power outage in SI; ZIP 10312.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
27,2017-03-15 05:55:58,841890696051195905,.@ConEdison is responding to a power outage in SI; ZIP 10312.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
28,2017-03-15 05:25:15,841882966829760512,@ConEdison power outage in Staten Island...Edgegrove ave  cant seem to report it on the website,b'drfeelgo0d21'
29,2017-03-14 14:44:05,841661214581227521,NotifyNYC: .ConEdison is responding to a power outage in SI; ZIP 10308.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
30,2017-03-14 14:40:22,841660280421662724,.@ConEdison is responding to a power outage in SI; ZIP 10308.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
31,2017-03-13 18:12:19,841351229989146631,"Be storm ready 
Emergencies dial 911

@GPDNY  Non emergency 914-989-1700

@ConEdison power outage 1-800-75-CONED
https://twitter.com/ConEdison/status/841298927399903232 …",b'GPDNY'
32,2017-03-11 06:33:10,840450507445538816,NotifyNYC: .ConEdison ConEd is responding to a power outage in QN ZIP 11004.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
33,2017-03-11 06:24:42,840448376047046656,.@ConEdison ConEd is responding to a power outage in QN ZIP 11004.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
34,2017-03-05 09:30:00,838320680143745024,How much longer for this power outage?! #again @ConEdison @NewportBeachPD,b'LEBRISA'
35,2017-03-01 17:20:05,836989431097720838,No lights due to a ConEdison power outage at sacredsoundsyoga? No problem! Lunch classes are… https://www.instagram.com/p/BRGoljPjCs0/ ,b'SacredSoundsNYC'
36,2017-02-20 03:50:57,833524313479380992,@ConEdison . Power outage in Forest Hills near 67th Ave. 11375,b'cp_sundancekid'
37,2017-02-16 22:40:12,832358947646558208,"NotifyNYC: ConEdison    ConEd is responding to a power outage in Williamsbridge, BX.  Report service loss: 1-800-7… http://on.nyc.gov/22lyehC .",b'EastCoast911IA'
38,2017-02-16 22:29:39,832356295055405056,"@ConEdison    ConEd is responding to a power outage in Williamsbridge, BX.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .",b'NotifyNYC'
39,2017-02-15 00:47:21,831666171632025601,@ConEdison thanks had to stay in a hotel and then put our 4 month old in the hospital becase of power outage in park slope. #conedison,b'CrispyPolinsky'
40,2017-03-20 16:37:29,843864079072722945,"The power outage experience earlier today on Iona College's campus has been resolved.  Thanks, @ConEdison",b'ionacollege'
41,2017-03-20 14:22:08,843830016941195264,@ConEdison responding to power outage effecting 69 customers in area of @ionacollegepic.twitter.com/xyPUF70v8k,b'TalkoftheSound'
42,2017-03-16 22:28:36,842502888614191104,NotifyNYC: .ConEdison is responding to a power outage in SI ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
43,2017-03-16 22:27:01,842502491023593472,.@ConEdison is responding to a power outage in SI ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
44,2017-03-16 22:25:21,842502072373317632,Props to your electric people tho @ConEdison for responding promptly to power outage. Your gas people could take a lesson.,b'msVbear'
45,2017-03-16 22:13:13,842499018106257408,.@ConEdison is reporting a power outage in portions of the West Shore with estimated time of restoration 7:30 pic.twitter.com/Fv7hrxEoqQ,b'StatenIslUSA'
46,2017-03-15 05:59:06,841891485339521024,NotifyNYC: .ConEdison is responding to a power outage in SI; ZIP 10312.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
