date,ny_temperature,ny_weather_des,ny_wind_dir,ny_wind_speed
2012-10-01 13:00:00,59.11,few clouds,260.0,7.0
2012-10-01 14:00:00,59.16,few clouds,260.0,7.0
2012-10-01 15:00:00,59.3,few clouds,260.0,7.0
2012-10-01 16:00:00,59.44,few clouds,260.0,7.0
2012-10-01 17:00:00,59.58,few clouds,261.0,6.0
2012-10-01 18:00:00,59.73,few clouds,261.0,6.0
2012-10-01 19:00:00,59.87,few clouds,262.0,6.0
2012-10-01 20:00:00,60.01,few clouds,262.0,6.0
2012-10-01 21:00:00,60.15,few clouds,263.0,6.0
2012-10-01 22:00:00,60.3,few clouds,263.0,6.0
2012-10-01 23:00:00,60.44,few clouds,263.0,6.0
2012-10-02 00:00:00,60.58,few clouds,264.0,6.0
2012-10-02 01:00:00,60.73,few clouds,264.0,6.0
2012-10-02 02:00:00,60.87,few clouds,265.0,6.0
2012-10-02 03:00:00,61.01,few clouds,265.0,6.0
2012-10-02 04:00:00,61.15,few clouds,265.0,6.0
2012-10-02 05:00:00,61.3,few clouds,266.0,6.0
2012-10-02 06:00:00,61.44,few clouds,266.0,6.0
2012-10-02 07:00:00,61.58,few clouds,267.0,6.0
2012-10-02 08:00:00,61.72,few clouds,267.0,6.0
2012-10-02 09:00:00,61.87,few clouds,267.0,6.0
2012-10-02 10:00:00,62.01,few clouds,268.0,5.0
2012-10-02 11:00:00,62.15,few clouds,268.0,5.0
2012-10-02 12:00:00,62.29,few clouds,269.0,5.0
2012-10-02 13:00:00,62.44,few clouds,269.0,5.0
2012-10-02 14:00:00,62.58,few clouds,270.0,5.0
2012-10-02 15:00:00,64.69,few clouds,270.0,5.0
2012-10-02 16:00:00,65.51,sky is clear,303.0,2.0
2012-10-02 17:00:00,67.24,sky is clear,285.0,1.0
2012-10-02 18:00:00,69.19,scattered clouds,250.0,6.0
2012-10-02 19:00:00,69.65,sky is clear,288.0,1.0
2012-10-02 20:00:00,70.81,scattered clouds,240.0,5.0
2012-10-02 21:00:00,71.04,sky is clear,269.0,1.0
2012-10-02 22:00:00,68.07,scattered clouds,270.0,5.0
2012-10-02 23:00:00,64.07,broken clouds,260.0,5.0
2012-10-03 00:00:00,62.02,broken clouds,270.0,4.0
2012-10-03 01:00:00,60.49,sky is clear,250.0,4.0
2012-10-03 02:00:00,60.15,broken clouds,270.0,4.0
2012-10-03 03:00:00,59.79,broken clouds,0.0,0.0
2012-10-03 04:00:00,59.68,broken clouds,330.0,2.0
2012-10-03 05:00:00,59.79,overcast clouds,230.0,1.0
2012-10-03 06:00:00,60.24,broken clouds,210.0,3.0
2012-10-03 07:00:00,60.6,overcast clouds,230.0,2.0
2012-10-03 08:00:00,60.82,overcast clouds,0.0,0.0
2012-10-03 09:00:00,61.16,overcast clouds,0.0,0.0
2012-10-03 10:00:00,61.41,overcast clouds,0.0,0.0
2012-10-03 11:00:00,61.52,overcast clouds,0.0,0.0
2012-10-03 12:00:00,62.98,overcast clouds,80.0,1.0
2012-10-03 13:00:00,64.43,overcast clouds,160.0,2.0
2012-10-03 14:00:00,67.49,overcast clouds,130.0,2.0
2012-10-03 15:00:00,66.38,broken clouds,123.0,3.0
2012-10-03 16:00:00,65.27,broken clouds,116.0,3.0
2012-10-03 17:00:00,64.16,mist,110.0,4.0
