,index,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet,regex_clean_tweets,lemmed_tweet,nouns,proper_nouns,geopolitical_ents,aerial_(fly-over),drills/exercises,environmental,fire,infrastructure,mass_transit_disruption,mass_transit_restoration,missing_adult,missing_child/adolescent,parking,public_awareness,public_health,road_closure,school_notification,structural,utility,weather,temperature_f,wind_dir_degrees,wind_speed_mph,broken_clouds,drizzle,dust,few_clouds,fog,freezing_rain,haze,heavy_intensity_drizzle,heavy_intensity_rain,heavy_snow,heavy_thunderstorm,light_intensity_drizzle,light_intensity_shower_rain,light_rain,light_rain_and_snow,light_snow,mist,moderate_rain,overcast_clouds,proximity_thunderstorm,proximity_thunderstorm_with_drizzle,proximity_thunderstorm_with_rain,sand,sand/dust_whirls,scattered_clouds,shower_rain,sky_is_clear,smoke,snow,squalls,thunderstorm,thunderstorm_with_heavy_rain,thunderstorm_with_light_drizzle,thunderstorm_with_light_rain,thunderstorm_with_rain,very_heavy_rain,outage
112,2530,262994507803529216,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,@ conedison  Are there planned  power   outages  in Manhattan due to the storm?,/Jonooooo/status/262994507803529216,17924231.0,Jonooooo,conedison Are planned power outages Manhattan due storm,conedison Are planned power outage Manhattan due storm ,conedison power outage storm ,Manhattan ,Manhattan ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1296,262996252382343168,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,ConEd  warns lower Manhattan customers of possible  power   outages  tonight  http:// dlvr.it/2PKmVG    [Reuters #news ],/iNews24/status/262996252382343168,30593431.0,iNews24,ConEd warns lower Manhattan customers possible power outages tonight dlvr PKmVG Reuters news,ConEd warns lower Manhattan customer possible power outage tonight dlvr PKmVG Reuters news ,ConEd customer power outage tonight dlvr news ,Manhattan Reuters ,Manhattan ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1576,262997231647473665,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,~~> BREAKING RT  ConEd  warns lower Manhattan customers of possible  power   outages  tonight  http:// townhall.com/news/us/2012/1 0/29/coned_warns_lower_manhattan_customers_of_possible_power_outages_tonight   …  via @townhallcom,/TruthShalom/status/262997231647473665,894133892.0,TruthShalom,BREAKING RT ConEd warns lower Manhattan customers possible power outages tonight townhall news us coned warns lower manhattan customers possible power outages tonight via townhallcom,BREAKING RT ConEd warns lower Manhattan customer possible power outage tonight townhall news u coned warns lower manhattan customer possible power outage tonight via townhallcom ,customer power outage tonight townhall news u manhattan customer power outage tonight townhallcom ,RT ConEd Manhattan ,Manhattan ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,200,262997904233492480,2012-10-29 15:00:00,no media,False,False,no media,1.0,2.0,8.0,"Just got my call. MT @dens :  ConEd  is making calls prepping people 4  power   outages . Get yer flashlights, candles, headlamps ready! @EVGrieve",/PaulRieckhoff/status/262997904233492480,21542518.0,PaulRieckhoff,Just got call MT dens ConEd making calls prepping people power outages Get yer flashlights candles headlamps ready EVGrieve,Just got call MT den ConEd making call prepping people power outage Get yer flashlight candle headlamp ready EVGrieve ,call ConEd call people power outage flashlight candle headlamp EVGrieve ,MT ,MT ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,3650,262998371810291713,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,ConEd  warns lower Manhattan customers of possible  power   outages  tonight: NEW YORK (Reuters) - Consolidated Ediso...  http:// bit.ly/V0TGHS  ,/Amorous_V/status/262998371810291713,88371331.0,Amorous_V,ConEd warns lower Manhattan customers possible power outages tonight NEW YORK Reuters Consolidated Ediso V TGHS,ConEd warns lower Manhattan customer possible power outage tonight NEW YORK Reuters Consolidated Ediso V TGHS ,ConEd customer power outage tonight V TGHS ,Manhattan NEW YORK Reuters Consolidated Ediso ,Manhattan NEW ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,791,262998369474076672,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,ConEd  warns lower Manhattan customers of possible  power   outages  tonight: NEW YORK (Reuters) - Consolid...  http:// bit.ly/V0TGHS    (Reuters),/InquisitionNews/status/262998369474076672,41829280.0,InquisitionNews,ConEd warns lower Manhattan customers possible power outages tonight NEW YORK Reuters Consolid V TGHS Reuters,ConEd warns lower Manhattan customer possible power outage tonight NEW YORK Reuters Consolid V TGHS Reuters ,ConEd customer power outage tonight Consolid V TGHS Reuters ,Manhattan NEW YORK Reuters ,Manhattan NEW ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2143,262998375232835584,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,ConEd  warns lower Manhattan customers of possible  power   outages  tonight: NEW YORK (Reuters) - Consolidated Ediso...  http:// bit.ly/V0TGHS  ,/HayIeyK/status/262998375232835584,88816532.0,HayIeyK,ConEd warns lower Manhattan customers possible power outages tonight NEW YORK Reuters Consolidated Ediso V TGHS,ConEd warns lower Manhattan customer possible power outage tonight NEW YORK Reuters Consolidated Ediso V TGHS ,ConEd customer power outage tonight V TGHS ,Manhattan NEW YORK Reuters Consolidated Ediso ,Manhattan NEW ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2328,262998373357985793,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,ConEd  warns lower Manhattan customers of possible  power   outages  tonight: NEW YORK (Reuters) - Consolidated Ediso...  http:// bit.ly/V0TGHS  ,/Amorous_II/status/262998373357985793,88370087.0,Amorous_II,ConEd warns lower Manhattan customers possible power outages tonight NEW YORK Reuters Consolidated Ediso V TGHS,ConEd warns lower Manhattan customer possible power outage tonight NEW YORK Reuters Consolidated Ediso V TGHS ,ConEd customer power outage tonight V TGHS ,Manhattan NEW YORK Reuters Consolidated Ediso ,Manhattan NEW ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,430,262998378743488512,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,ConEd  warns lower Manhattan customers of possible  power   outages  tonight: NEW YORK (Reuters) - Consolidated Ediso...  http:// bit.ly/V0TGHS  ,/TopheadlinesUSA/status/262998378743488512,112450551.0,TopheadlinesUSA,ConEd warns lower Manhattan customers possible power outages tonight NEW YORK Reuters Consolidated Ediso V TGHS,ConEd warns lower Manhattan customer possible power outage tonight NEW YORK Reuters Consolidated Ediso V TGHS ,ConEd customer power outage tonight V TGHS ,Manhattan NEW YORK Reuters Consolidated Ediso ,Manhattan NEW ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,3801,262998383155896320,2012-10-29 15:00:00,no media,False,False,no media,0.0,0.0,0.0,[Reuters US]  ConEd  warns lower Manhattan customers of possible  power   outages  tonight: NEW YORK (Reuters) - Conso...  http:// bit.ly/V0TGHS  ,/minheelee81/status/262998383155896320,158583619.0,minheelee81,Reuters US ConEd warns lower Manhattan customers possible power outages tonight NEW YORK Reuters Conso V TGHS,Reuters US ConEd warns lower Manhattan customer possible power outage tonight NEW YORK Reuters Conso V TGHS ,customer power outage tonight V TGHS ,Reuters US ConEd Manhattan NEW YORK Reuters Conso ,Manhattan NEW ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
