index,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet,regex_clean_tweets,lemmed_tweet,nouns,proper_nouns,geopolitical_ents
1869,252633076105097216,2012-10-01 00:00:00,no media,False,False,no media,1.0,0.0,1.0,"@ ckundo  Inspired by your  ConEd  summary  outage  info Ruby gem, I built a  power   outage  detail data scraper  https:// scraperwiki.com/scrapers/coned _outages/   …",/seecmb/status/252633076105097216,294434762.0,seecmb,ckundo Inspired ConEd summary outage info Ruby gem I built power outage detail data scraper scraperwiki scrapers coned outages,ckundo Inspired ConEd summary outage info Ruby gem I built power outage detail data scraper scraperwiki scraper coned outage ,summary outage info gem power outage detail data scraper scraperwiki scraper outage ,Inspired ConEd Ruby ,
3094,254638373040422912,2012-10-06 13:00:00,no media,False,False,no media,0.0,0.0,0.0,Partial  power   outage  at #MediaLoft  That's twice this week. Damn you #ConEd,/LuisPaganStudio/status/254638373040422912,212391633.0,LuisPaganStudio,Partial power outage MediaLoft That twice week Damn ConEd,Partial power outage MediaLoft That twice week Damn ConEd ,power outage week ,MediaLoft Damn ConEd ,
2528,256621964268032000,2012-10-12 01:00:00,no media,False,False,no media,0.0,0.0,0.0,"Um, can someone call  ConEd , there's a  power   outage  in the Bronx. Source seems to be 3rd base.  http:// post.ly/9YHqV  ",/marlonthereal/status/256621964268032000,14144742.0,marlonthereal,Um someone call ConEd power outage Bronx Source seems rd base post YHqV,Um someone call ConEd power outage Bronx Source seems rd base post YHqV ,someone power outage post ,ConEd Bronx Source YHqV ,
723,259866379086340096,2012-10-20 23:00:00,no media,False,False,no media,0.0,0.0,0.0,Power   outage  took over my entire block as soon as i loaded #ConEd .com. You can't make this up :),/meligyh/status/259866379086340096,280700235.0,meligyh,Power outage took entire block soon loaded ConEd You make,Power outage took entire block soon loaded ConEd You make ,Power outage block ,ConEd ,
487,261909073295974401,2012-10-26 15:00:00,no media,False,False,no media,0.0,1.0,10.0,Mayor: A major concern given this type of storm is the possibility of prolonged  power   outages . We’re working closely with @ConEdison .,/NYCMayorsOffice/status/261909073295974401,55338739.0,NYCMayorsOffice,Mayor A major concern given type storm possibility prolonged power outages We working closely ConEdison,Mayor A major concern given type storm possibility prolonged power outage We working closely ConEdison ,concern type storm possibility power outage ,Mayor ConEdison ,
2636,261917184102633472,2012-10-26 15:00:00,no media,False,False,no media,1.0,1.0,2.0,A major concern given this storm is the possibility of prolonged  power   outages . NYC working closely with @ConEdison  via @NYCMayorsOffice,/MarnieLevy/status/261917184102633472,424595791.0,MarnieLevy,A major concern given storm possibility prolonged power outages NYC working closely ConEdison via NYCMayorsOffice,A major concern given storm possibility prolonged power outage NYC working closely ConEdison via NYCMayorsOffice ,concern storm possibility power outage ,NYC ConEdison NYCMayorsOffice ,
2059,261952963881361409,2012-10-26 18:00:00,no media,False,False,no media,1.0,9.0,38.0,NYers should be prepared for the possibility of  power   outages . We are working closely with @ConEdison . #Sandy,/MikeBloomberg/status/261952963881361409,16581604.0,MikeBloomberg,NYers prepared possibility power outages We working closely ConEdison Sandy,NYers prepared possibility power outage We working closely ConEdison Sandy ,possibility power outage ,NYers ConEdison Sandy ,
1951,261953442531131393,2012-10-26 18:00:00,no media,False,False,no media,0.0,0.0,0.0,RT @MikeBloomberg  NYers should be prepared for the possibility of  power   outages . We are working closely with @ConEdison . #Sandy,/RobinMCouch/status/261953442531131393,309190582.0,RobinMCouch,RT MikeBloomberg NYers prepared possibility power outages We working closely ConEdison Sandy,RT MikeBloomberg NYers prepared possibility power outage We working closely ConEdison Sandy ,possibility power outage ,RT MikeBloomberg NYers ConEdison Sandy ,
3544,261953601990193152,2012-10-26 18:00:00,no media,False,False,no media,0.0,0.0,0.0,/@MikeBloomberg : NYers should be prepared for the possibility of  power   outages . We are working closely with @ConEdison . #Sandy,/saserief/status/261953601990193152,7267552.0,saserief,MikeBloomberg NYers prepared possibility power outages We working closely ConEdison Sandy,MikeBloomberg NYers prepared possibility power outage We working closely ConEdison Sandy ,possibility power outage ,MikeBloomberg NYers ConEdison Sandy ,
2032,261955915803136002,2012-10-26 18:00:00,no media,True,False,no media,0.0,0.0,0.0,RT @MikeBloomberg  NYers should be prepared for the possibility of  power   outages . We are working closely with @ConEdison . #Sandy,/oaaigbe/status/261955915803136002,148650438.0,oaaigbe,RT MikeBloomberg NYers prepared possibility power outages We working closely ConEdison Sandy,RT MikeBloomberg NYers prepared possibility power outage We working closely ConEdison Sandy ,possibility power outage ,RT MikeBloomberg NYers ConEdison Sandy ,
1987,261959978783473664,2012-10-26 18:00:00,no media,False,False,no media,0.0,1.0,0.0,"""@MikeBloomberg : NYers should be prepared for the possibility of  power   outages . We are working closely with @ConEdison . #Sandy """,/island1princess/status/261959978783473664,317678591.0,island1princess,MikeBloomberg NYers prepared possibility power outages We working closely ConEdison Sandy,MikeBloomberg NYers prepared possibility power outage We working closely ConEdison Sandy ,possibility power outage ,MikeBloomberg NYers ConEdison Sandy ,
4049,261966441174138880,2012-10-26 19:00:00,no media,False,False,no media,0.0,0.0,0.0,Mike Bloomberg (Sandy)- Order made to halt all exterior construction work by 5PM Sat.  Power   outages  possible. Working w @ConEdison,/RighttoFood1/status/261966441174138880,391746158.0,RighttoFood1,Mike Bloomberg Sandy Order made halt exterior construction work PM Sat Power outages possible Working w ConEdison,Mike Bloomberg Sandy Order made halt exterior construction work PM Sat Power outage possible Working w ConEdison ,halt construction work outage ,Mike Bloomberg Sandy Order PM Sat Power Working ConEdison ,
414,262324132698542080,2012-10-27 18:00:00,no media,False,False,no media,1.0,6.0,26.0,.@ConEdison  reminds New Yorkers to watch out for downed wires and be prepared for  power   outages,/NYCMayorsOffice/status/262324132698542080,55338739.0,NYCMayorsOffice,ConEdison reminds New Yorkers watch downed wires prepared power outages,ConEdison reminds New Yorkers watch downed wire prepared power outage ,wire power outage ,ConEdison New Yorkers ,
952,262324609402167296,2012-10-27 18:00:00,no media,False,False,no media,0.0,0.0,0.0,RT @NYCMayorsOffice : .@ConEdison  reminds New Yorkers to watch out for downed wires and be prepared for  power   outages,/weeddude/status/262324609402167296,64141011.0,weeddude,RT NYCMayorsOffice ConEdison reminds New Yorkers watch downed wires prepared power outages,RT NYCMayorsOffice ConEdison reminds New Yorkers watch downed wire prepared power outage ,wire power outage ,RT NYCMayorsOffice ConEdison New Yorkers ,
1126,262324620584161280,2012-10-27 18:00:00,no media,False,False,no media,0.0,0.0,0.0,Always good advice RT @NYCMayorsOffice : .@ConEdison  reminds New Yorkers to watch out for downed wires and be prepared for  power   outages,/springer/status/262324620584161280,180070398.0,springer,Always good advice RT NYCMayorsOffice ConEdison reminds New Yorkers watch downed wires prepared power outages,Always good advice RT NYCMayorsOffice ConEdison reminds New Yorkers watch downed wire prepared power outage ,advice wire power outage ,RT NYCMayorsOffice ConEdison New Yorkers ,
1941,262324907151589376,2012-10-27 18:00:00,no media,False,False,no media,0.0,0.0,0.0,"-_- ""@NYCMayorsOffice : .@ConEdison  reminds New Yorkers to watch out for downed wires and be prepared for  power   outages """,/SimoneKali/status/262324907151589376,16621331.0,SimoneKali,NYCMayorsOffice ConEdison reminds New Yorkers watch downed wires prepared power outages,NYCMayorsOffice ConEdison reminds New Yorkers watch downed wire prepared power outage ,wire power outage ,NYCMayorsOffice ConEdison New Yorkers ,
1350,262325087821262848,2012-10-27 18:00:00,no media,False,False,no media,0.0,0.0,0.0,"Turn on the lights! ---> ""@NYCMayorsOffice : .@ConEdison  reminds New Yorkers to watch out for downed wires and be prepared for  power   outages """,/DMHrunsNYC/status/262325087821262848,128049067.0,DMHrunsNYC,Turn lights NYCMayorsOffice ConEdison reminds New Yorkers watch downed wires prepared power outages,Turn light NYCMayorsOffice ConEdison reminds New Yorkers watch downed wire prepared power outage ,light wire power outage ,NYCMayorsOffice ConEdison New Yorkers ,
3659,262328346858381313,2012-10-27 19:00:00,no media,False,False,no media,0.0,0.0,3.0,RT @nycmayorsoffice : .@ConEdison  reminds New Yorkers to watch out for downed wires and be prepared for  power   outages,/nycemergencymgt/status/262328346858381313,226631680.0,nycemergencymgt,RT nycmayorsoffice ConEdison reminds New Yorkers watch downed wires prepared power outages,RT nycmayorsoffice ConEdison reminds New Yorkers watch downed wire prepared power outage ,wire power outage ,RT ConEdison New Yorkers ,
