date,location,tweets
2019-04-15 00:41:08,,"@CornBeltEnergy power outage in Downs, Il. 7:30pm"
2019-04-15 00:40:23,,@MauiElectric power outage upcountry??
2019-04-15 00:40:13,"Knoxville, TN","When @davidking08 breaks the power outage news. 😠 

“There’s a light poll out near your neighborhood.” https://t.co/IInaBEPT4H"
2019-04-15 00:37:53,,"4-14-2019 @ 8:35 pm 

Power outage on Highway 589, 437, 172, Cindas Creek, &amp; Patoker area.

Servicemen are notified… https://t.co/vgfvd10qiP"
2019-04-15 00:37:53,Athens,RT @TheAthensNEWS: Two trees were downed on College Green in Athens during the storm this evening. Photos by Zach Reizes. As of 8:25 this e…
2019-04-15 00:36:26,New York,"RT @bebarce: Hi all,

Just putting it out there if you are a:
reviewer/interviewer
twitch or youtube streamer of TRPGs

and are interested…"
2019-04-15 00:36:25,United States,@KnoxKUB &amp; @MayorRogero your power infrastructure is about as reliable as the systems in Venezuela. Third outage in… https://t.co/F6lPdyRk2c
2019-04-15 00:35:13,Coastal Jersey...in the sand,We had a power outage....it's not working.... AAAAAAAH! #GameofThrones https://t.co/k1tCSH4ZlI
2019-04-15 00:34:27,"Athens, Ohio",RT @TheAthensNEWS: Two trees were downed on College Green in Athens during the storm this evening. Photos by Zach Reizes. As of 8:25 this e…
2019-04-15 00:33:41,"Badstreet, USA","Power outage, day one: 

Child is bored and confused. 

His young son is as well. 

Cats growing skeptical of supposed human dominance."
2019-04-15 00:31:46,Osaka,"Disaster-related information in Facebook, there are displays of power outage plan. https://t.co/lufwqsp9iC #jishin #followme"
2019-04-15 00:31:07,"Columbus, OH",RT @TheAthensNEWS: Two trees were downed on College Green in Athens during the storm this evening. Photos by Zach Reizes. As of 8:25 this e…
2019-04-15 00:30:21,On Melancholy Hill,"On boy, lightning. I can't wait for the inevitable power outage."
2019-04-15 00:29:21,,"RT @cityofoakridge: As a reminder, please do not dial 911 due to a power outage unless you are injured or have an emergency. (4/5) https://…"
2019-04-15 00:28:43,42nd Parallel North,"@von_lex Yes, but we’re not Hydro One, small company called Essex Power Lines. Checked their outage page too. Nada :-/"
2019-04-15 00:28:22,"Portsmouth, VA",RT @dog_feelings: the human likes to cover my eyes with my ears. and pretend there’s been a power outage. i go along with this. because it…
2019-04-15 00:28:11,,RT @TheAthensNEWS: Two trees were downed on College Green in Athens during the storm this evening. Photos by Zach Reizes. As of 8:25 this e…
2019-04-15 00:27:54,"Pukalani, HI USA",Whoops... high winds = power outage. Again. Bbl : )
2019-04-15 00:27:38,"Athens, Ohio",Two trees were downed on College Green in Athens during the storm this evening. Photos by Zach Reizes. As of 8:25 t… https://t.co/8mfPT4Q2nE
2019-04-15 00:26:49,"Greenbelt, MD",It’s also possible I get a power-outage mid-Tweet and you’ll be lucky not to see how hard I’m decompensating without my GOT.
