,date,location,tweets
0,2019-04-16 22:33:49,"Boulder, Colorado",@K1ngAnge1 Hi there! @CUBoulderFacMan is aware of a power outage affecting portions of campus. Staff is working to… https://t.co/fnWPhe4m1t
1,2019-04-16 22:32:51,,"art piece i worked on during our power outage, no general thought process or direction- just drawing whatever i fel… https://t.co/qZ3WxvBTZB"
2,2019-04-16 22:31:38,,"RT @911onFOX: LA is facing a complete power outage and things get... HECTIC. 

📺: https://t.co/unpIOKGfuX #911onFOX https://t.co/l3JZShc01l"
3,2019-04-16 22:30:51,"Michigan, USA","@brooklynpeach They’re doing line work on M-50, attributed to the power outage is what I hear. My office is in Broo… https://t.co/KrIUaa3MZb"
4,2019-04-16 22:30:14,"Federal Capital Territory, Nigeria",I can cry now...you know when you take so much time and draft a document with all your creativeness and because you… https://t.co/CYXwZsKjmM
5,2019-04-16 22:30:13,"Gettysburg, PA",Channel your inner power outage
6,2019-04-16 22:28:29,,"Standardized testing week, rainy weather = indoor recesses, power outage at school, and came home to a broken toile… https://t.co/9q9sYgu8HZ"
7,2019-04-16 22:23:24,,"RT @LillyDiaz_: UIC just got off a strike, today has a power outage &amp; fire alarms going off &amp; professors might go on strike next week. Just…"
8,2019-04-16 22:20:38,Santa Maria - RS,RT @dog_feelings: the human likes to cover my eyes with my ears. and pretend there’s been a power outage. i go along with this. because it…
9,2019-04-16 22:20:30,"New York, NY",RT @dog_feelings: the human likes to cover my eyes with my ears. and pretend there’s been a power outage. i go along with this. because it…
10,2019-04-16 22:19:46,,I said we have so many power outage candles and flashlights we have two big tables.
11,2019-04-16 22:19:03,,"@yourskimmy Well today they didn't have a choice, my public health class was cancelled because of the power outage lol"
12,2019-04-16 22:18:58,"Longview, TX","RT @DrGroove: @mspairport You know, there's a power outage at concourse C. You couldn't assign a different arrival gate Before we got here.…"
13,2019-04-16 22:17:59,Canada,RT @dog_feelings: the human likes to cover my eyes with my ears. and pretend there’s been a power outage. i go along with this. because it…
14,2019-04-16 22:16:20,"Nashville, TN","RT @TheWrightLab: Despite a power outage and several room changes, Carson still managed to pull out a W this qual season! Congrats and enjo…"
15,2019-04-16 22:16:17,"Victoria, Australia","Power Outage: 8:03AM: (6928 premises) - MICKLEHAM, CRAIGIEBURN, WOLLERT - Multiple Streets Affected - ETA restorati… https://t.co/GCCk9B0o85"
16,2019-04-16 22:12:39,"Salt Lake City, UT","A 3-year, $4.4 million research award to advance solar energy’s role in strengthening the resilience of the US elec… https://t.co/tDiTL71ovR"
17,2019-04-16 22:12:22,"Chatham, NJ  07928 ","Due to a power outage, the Hickory Square Mall, 641 Shunpike Road will be closed for the evening. JCPL is on scene. No eta of repair."
18,2019-04-16 22:10:44,,RT @AonoTsu76629087: @S3npaicat I had hoped to do at least 7 hours of overtime at my job in order to catch up with my lost hours during the…
19,2019-04-16 22:10:25,"San Diego, California","Car broke down yesterday, and now a power outage in UC...great couple of days in a row 😅😪"
20,2019-04-16 22:09:05,,RT @dog_feelings: the human likes to cover my eyes with my ears. and pretend there’s been a power outage. i go along with this. because it…
21,2019-04-16 22:08:50,"Tupelo, MS","RT @WTVAJoel: HEADS UP: The traffic signal at the corner of Coley Rd and McCullough Blvd in Tupelo appears to be out. 

Unsure if this is d…"
22,2019-04-16 22:08:24,University of Colorado Boulder,Facilities Management is aware of a power outage affecting portions of campus. Staff is working to determine the ca… https://t.co/LqBMAIlYDR
23,2019-04-16 22:07:38,"Melbourne, Victoria, Australia",Power Outage: 08:01: (236 premises) - Cheltenham - ETA restoration: 4:00 PM today. - Poss cause: Scheduled Line Rep… https://t.co/qy4LLiK0gC
24,2019-04-16 22:07:38,"Victoria, Australia",Power Outage: 08:01: (220 premises) - Rowville - ETA restoration: 11:30 AM today. - Poss cause: Scheduled Line Repa… https://t.co/FKtBbzPmpt
25,2019-04-16 22:06:55,"The High Country, NC",Power outage impacting parts of Valle Crucis and Matney https://t.co/Gu9UaLbmge
26,2019-04-16 22:06:27,Standing in the rain/snow/wind,"@mfdwx A winter without a major nor'easter, coastal flooding, or a widespread power outage. Don't get many of those around here!"
27,2019-04-16 22:05:23,"Canton, Michigan","When prepping for a power outage, make sure your sump pump has backup power. #hometips #lifetips https://t.co/QtUiB07xed"
28,2019-04-16 22:05:20,"Canton, Michigan","When prepping for a power outage, make sure your sump pump has backup power. #hometips #lifetips… https://t.co/kxrPG1EVOD"
29,2019-04-16 22:05:08,"Walnutport, PA","16-STAR RUNS THIS WEEK, SPECIAL GUEST 4/18 with @ZakkiBlakk!! (Power outage 4/15) 7:30pm EST at… https://t.co/iNVX5rMNPU"
30,2019-04-16 22:04:34,Yokai Realm,@S3npaicat I had hoped to do at least 7 hours of overtime at my job in order to catch up with my lost hours during… https://t.co/WxIoGCjCEh
31,2019-04-16 22:02:29,"ÜT: 39.439974,-81.458937","@mspairport You know, there's a power outage at concourse C. You couldn't assign a different arrival gate Before we… https://t.co/ljlLWxwlVt"
32,2019-04-16 21:59:51,"Tinley Park, IL","RT @LillyDiaz_: UIC just got off a strike, today has a power outage &amp; fire alarms going off &amp; professors might go on strike next week. Just…"
33,2019-04-16 21:59:05,love you,Hey! Your power outage has been down since Monday or Sunday. I haven’t been able to use my network or send messages… https://t.co/YKJD7Kirnf
34,2019-04-16 21:57:22,On the edge of forever.,"Oh, hello power outage. What the fuck."
35,2019-04-16 21:48:29,"Seattle, WA",Tell me why I started a load of laundry and my washing machine when my apartment has a complex wide scheduled power… https://t.co/jRfnlauava
36,2019-04-16 21:47:54,"Kerrville, Texas","Power Outage -  Kerrville Public Utility Board (KPUB) officials reported that on Tuesday, April 16th at 2:12 p.m. K… https://t.co/pykroci4eY"
37,2019-04-16 21:44:55,,@mspairport What's happening with your @AlaskaAir jetway and no power?  I hear the passengers are stuck on the plan… https://t.co/LmbYOwEWxO
38,2019-04-16 21:43:50,,"@MalwareJake Wait no, edit, I see gates...

Power outage prevented the lights and gates from working?"
39,2019-04-16 21:43:29,,Nothing like coming home to a power outage.....could 👏🏻 this 👏🏻 day👏🏻 get 👏🏻 any 👏🏻 worse
40,2019-04-16 21:43:16,,"RT @TheWrightLab: Despite a power outage and several room changes, Carson still managed to pull out a W this qual season! Congrats and enjo…"
41,2019-04-16 21:41:12,Yokai Realm,@SonBlackHeart22 I had hoped to do at least 7 hours of overtime at my job in order to catch up with my lost hours d… https://t.co/peRNGSPrjo
42,2019-04-16 21:38:37,"Boulder, CO",Aye there’s a power outage in #Benson @CUBoulder
43,2019-04-16 21:38:11,"Kings Mountain, NC",RT @shieldofcastiel: men of letters really made the emergency lights/crisis mode bunker as terrifiying as possible. you about to die?? ya'l…
44,2019-04-16 21:36:23,"Nashville, TN","Despite a power outage and several room changes, Carson still managed to pull out a W this qual season! Congrats an… https://t.co/sq6qzcDiup"
45,2019-04-16 21:36:06,° .   ☆    .° .*₊   ☆,RT @shieldofcastiel: men of letters really made the emergency lights/crisis mode bunker as terrifiying as possible. you about to die?? ya'l…
