date,id,tweet,userid
2017-06-27 22:11:55,879824641929482242,"Do to PSEG power outage the Maggie Sottero in store event will be extended until Saturday, July 1st. Call now for... http://fb.me/25DIPZ2mf ",b'helensbridal'
2017-06-26 12:57:16,879322670470488064,1095Jamz apologizes for the broadcast interruption. There has been a general power outage in our area. We hope PSEG rectifies soon,b'1095JAMZ'
2017-06-24 10:52:57,878566608167370754,"@ReadyNJ reporting power outage in Clifton Cathay rd  #pseg
@cliftonnjpolice
#clifton
#poweroutage",b'katzhealthclass'
2017-06-24 10:42:39,878564016909635584,@cliftonnj I'm reporting power outage Cathay Rd area #pseg @CliftonJournal what's going on? #poweroutage,b'katzhealthclass'
2017-06-20 18:55:59,877238616371625984,CRANFORD Power Outage reported in portions of Downtown area and North East sections of town. PSEG working on repair. http://www.nixle.us/9ESD3 ,b'cranfordweb'
2017-06-20 17:49:56,877221996127547392,Power Outage reported in portions of the Downtown area and North East sections of town. PSEG working on repair.  https://shar.es/1BrSsl ,b'cranfordweb'
2017-06-20 17:47:49,877221464214261761,Power Outage reported in portions of the Downtown area and North East sections of town. PSEG working on repair.  http://nixle.us/9ESD3 ,b'CranfordPD'
2017-06-19 16:51:45,876844965292363777,.@PSEGdelivers Please stop calling my phone from your PSEG Callback to tell me the power outage from Sat is resolved. 6 calls in 1/2 hr!!!!!,b'RosellaVirdo'
2017-06-17 16:50:51,876119962246688769,Power Outage in the area of Centennial Ave.  PSEG responding to repair a transformer issue.  http://nixle.us/9EM9B ,b'CranfordPD'
2017-06-17 13:49:58,876074443495419904,Power Outage in the area of Ridge Road & Highland Cross approximately 97 customers without service PSEG responding for repair.,b'RutherfordPDNJ'
2017-06-14 03:24:28,874829867568771073,The Rahway Police are aware of a power outage affecting the west side of Rahway this evening. PSEG has been... http://fb.me/N0yc7iGS ,b'RahwayPolice'
2017-06-14 02:50:23,874821290397503488,is aware of a power outage that occurred on the west side of Rahway this evening ...PSEG has been notified  http://nixle.us/9EDWH ,b'RahwayPolice'
2017-06-03 08:57:33,870927423575121922,Newark MV Crash / Fire Maple Ave & Weequahic Ave Pole Struck Occupants Fled Scene- Transformer Down power outage in area. PSEG Requested.,b'NJFires'
2017-05-25 17:58:44,867802125308440578,"Power outage in the midtown area, PSEG is on scene working on the issue.
Use caution while driving in the area multiple traffic lights out.",b'UnionCityPD'
2017-05-22 20:56:50,866759782593646593,Intellectually dishonest #PSEG says 15 customers are affected by a power outage in #Edgewater. We live in a 200+ unit building...  #Liarspic.twitter.com/RX0XwST6xw,b'JudeM1985'
2017-05-09 14:47:52,861955887333855232,CRANFORD Power outage reported in the north east section of Cranford. PSEG aware and working on restoring the power. http://www.nixle.us/9C86H ,b'cranfordweb'
2017-05-09 14:37:53,861953376715759616,Power outage reported in the north east section of Cranford. PSEG is aware and working on restoring the power. http://fb.me/3vr4k464z ,b'CranfordPD'
2017-05-09 14:37:42,861953328418312196,Power outage reported in the north east section of Cranford. PSEG is aware and working on restoring the power. http://nixle.us/9C86H ,b'CranfordPD'
2017-05-06 17:05:43,860903413961310210,"From http://www.News.gg  Power Outage - Newark, NJ: PD on scene requesting PSEG for traffic lights and two addresses… #BreakingNews",b'BreakingNewsNY'
2017-05-06 17:05:39,860903397674766336,"From http://www.News.gg  Power Outage - Newark, NJ: PD on scene requesting PSEG for traffic lights and two addresses… #BreakingNews",b'newstip'
2017-06-27 22:11:55,879824641929482242,"Do to PSEG power outage the Maggie Sottero in store event will be extended until Saturday, July 1st. Call now for... http://fb.me/25DIPZ2mf ",b'helensbridal'
2017-06-26 12:57:16,879322670470488064,1095Jamz apologizes for the broadcast interruption. There has been a general power outage in our area. We hope PSEG rectifies soon,b'1095JAMZ'
2017-06-24 10:52:57,878566608167370754,"@ReadyNJ reporting power outage in Clifton Cathay rd  #pseg
@cliftonnjpolice
#clifton
#poweroutage",b'katzhealthclass'
2017-06-24 10:42:39,878564016909635584,@cliftonnj I'm reporting power outage Cathay Rd area #pseg @CliftonJournal what's going on? #poweroutage,b'katzhealthclass'
2017-06-20 18:55:59,877238616371625984,CRANFORD Power Outage reported in portions of Downtown area and North East sections of town. PSEG working on repair. http://www.nixle.us/9ESD3 ,b'cranfordweb'
2017-06-20 17:49:56,877221996127547392,Power Outage reported in portions of the Downtown area and North East sections of town. PSEG working on repair.  https://shar.es/1BrSsl ,b'cranfordweb'
2017-06-20 17:47:49,877221464214261761,Power Outage reported in portions of the Downtown area and North East sections of town. PSEG working on repair.  http://nixle.us/9ESD3 ,b'CranfordPD'
2017-06-19 16:51:45,876844965292363777,.@PSEGdelivers Please stop calling my phone from your PSEG Callback to tell me the power outage from Sat is resolved. 6 calls in 1/2 hr!!!!!,b'RosellaVirdo'
2017-06-17 16:50:51,876119962246688769,Power Outage in the area of Centennial Ave.  PSEG responding to repair a transformer issue.  http://nixle.us/9EM9B ,b'CranfordPD'
2017-06-17 13:49:58,876074443495419904,Power Outage in the area of Ridge Road & Highland Cross approximately 97 customers without service PSEG responding for repair.,b'RutherfordPDNJ'
2017-06-14 03:24:28,874829867568771073,The Rahway Police are aware of a power outage affecting the west side of Rahway this evening. PSEG has been... http://fb.me/N0yc7iGS ,b'RahwayPolice'
2017-06-14 02:50:23,874821290397503488,is aware of a power outage that occurred on the west side of Rahway this evening ...PSEG has been notified  http://nixle.us/9EDWH ,b'RahwayPolice'
2017-06-03 08:57:33,870927423575121922,Newark MV Crash / Fire Maple Ave & Weequahic Ave Pole Struck Occupants Fled Scene- Transformer Down power outage in area. PSEG Requested.,b'NJFires'
2017-05-25 17:58:44,867802125308440578,"Power outage in the midtown area, PSEG is on scene working on the issue.
Use caution while driving in the area multiple traffic lights out.",b'UnionCityPD'
2017-05-22 20:56:50,866759782593646593,Intellectually dishonest #PSEG says 15 customers are affected by a power outage in #Edgewater. We live in a 200+ unit building...  #Liarspic.twitter.com/RX0XwST6xw,b'JudeM1985'
2017-05-09 14:47:52,861955887333855232,CRANFORD Power outage reported in the north east section of Cranford. PSEG aware and working on restoring the power. http://www.nixle.us/9C86H ,b'cranfordweb'
2017-05-09 14:37:53,861953376715759616,Power outage reported in the north east section of Cranford. PSEG is aware and working on restoring the power. http://fb.me/3vr4k464z ,b'CranfordPD'
2017-05-09 14:37:42,861953328418312196,Power outage reported in the north east section of Cranford. PSEG is aware and working on restoring the power. http://nixle.us/9C86H ,b'CranfordPD'
